,Filename,Generated Caption,Suggested Caption,User Rating
0,bert.png,man in red shirt is holding baby in the snow,,
0,bert.png,man in red shirt is holding baby in the snow,jhgkjhljhl;kj;,option1
0,bert.png,man in red shirt is holding baby in the snow,,
0,bert.png,man in red shirt is holding baby in the snow,fsdfhdj,
0,senses.png,young boy in red shirt is sitting on the side of the ice,fghgdjhklj;ypuitr,
0,alphastar.png,two dogs are playing with ball in the snow,gvjhkhgk,
0,senses.png,young boy in red shirt is sitting on the side of the ice,fhsjgfjghkjh,
0,bert.png,man in red shirt is holding baby in the snow,fhgfjdgkhkuyrior,
0,alphastar.png,two dogs are playing with ball in the snow,gjhdgdgh,
0,photo6138825554384759338.jpg,woman with black hair and black jacket and black jacket smile,fghgdjhklj;ypuitr,option1
0,photo6138825554384759338.jpg,woman with black hair and black jacket and black jacket smile,,option1
0,alphastar.png,two dogs are playing with ball in the snow,,8
